sector,city,founded_year,startup_age_years,funding_stage,total_funding_sar,num_funding_rounds,num_investors,num_founders,speed_to_first_round_months,last_round_type,sama_sandbox,rega_sandbox,ntdp_participation,survival_score
Fintech,Mecca,2016,8,Seed,2318,1,4,2,4,Seed,0,0,1,52.3
Healthtech,Jeddah,2018,6,Series B,20735,4,18,3,19,Series B,0,0,0,64.8
Real Estate Tech,Riyadh,2021,3,Seed,2019,2,4,2,30,Seed,0,1,0,34.5
E-commerce,Riyadh,2015,9,Series A,10229,2,5,2,42,Series A,0,0,0,61.4
HR Tech,Riyadh,2017,7,Pre-Seed,161,1,1,1,23,Pre-Seed,0,0,0,56.5
E-commerce,Riyadh,2014,10,Seed,2262,2,3,2,36,Seed,0,0,0,51.9
Agritech,Riyadh,2017,7,Series C,73295,4,26,4,24,Series C,0,0,1,77.5
Fintech,Khobar,2021,3,Pre-Seed,352,2,2,2,30,Pre-Seed,0,0,0,45.1
Edtech,Abha,2019,5,Pre-Seed,376,1,1,1,17,Pre-Seed,0,0,1,51.4
HR Tech,Riyadh,2010,14,Seed,1683,3,6,4,21,Seed,0,0,0,28.7
Fintech,Riyadh,2012,12,Series A,10407,3,7,1,22,Series A,0,0,1,49.7
Fintech,Riyadh,2013,11,Seed,2591,3,5,3,19,Seed,0,0,0,37.4
E-commerce,Riyadh,2020,4,Seed,2441,1,3,3,14,Seed,0,0,1,56.6
Fintech,Riyadh,2018,6,Series A,5923,3,7,2,25,Series A,1,0,0,50.9
Edtech,Riyadh,2017,7,Seed,913,3,3,2,14,Seed,0,0,0,30.4
Traveltech,Riyadh,2017,7,Series A,10607,3,7,1,22,Series A,0,0,0,57.4
E-commerce,Dammam,2011,13,Pre-Seed,413,2,2,2,15,Pre-Seed,0,0,1,45.8
Real Estate Tech,Jeddah,2016,8,Seed,1604,1,2,2,33,Seed,0,1,0,41.6
E-commerce,Jeddah,2021,3,Series A,14401,4,7,2,30,Series A,0,0,0,39.3
Edtech,Riyadh,2012,12,Series B,20570,3,14,2,12,Series B,0,0,0,42.1
Fintech,Khobar,2015,9,Series B,24602,3,9,3,15,Series B,0,0,1,44.8
Healthtech,Mecca,2013,11,Series A,8797,4,6,4,14,Series A,0,0,1,65.6
Healthtech,Riyadh,2015,9,Seed,2931,3,4,2,19,Seed,0,0,1,31.3
Healthtech,Riyadh,2013,11,Pre-Seed,264,1,2,2,1,Pre-Seed,0,0,0,44.5
Real Estate Tech,Jeddah,2012,12,Pre-Seed,296,1,2,3,22,Pre-Seed,0,0,0,37.0
Edtech,Riyadh,2011,13,Series B,29638,4,16,1,4,Series B,0,0,0,48.6
Fintech,Riyadh,2013,11,Series B,28062,4,13,3,12,Series B,0,0,1,57.6
Fintech,Jeddah,2019,5,Series C,99148,5,20,2,24,Series C,0,0,0,55.1
Agritech,Jeddah,2011,13,Pre-Seed,147,2,1,2,35,Pre-Seed,0,0,1,27.9
Edtech,Riyadh,2016,8,Seed,1651,2,3,4,16,Seed,0,0,1,30.4
Fintech,Jeddah,2010,14,Series A,11560,3,6,4,22,Series A,0,0,0,31.3
Real Estate Tech,Mecca,2020,4,Series A,9792,4,5,2,6,Series A,0,0,1,57.2
Real Estate Tech,Riyadh,2010,14,Series A,10200,3,9,1,14,Series A,0,1,0,58.5
Real Estate Tech,Jeddah,2014,10,Series B,17555,3,8,4,9,Series B,0,1,0,46.6
Real Estate Tech,Riyadh,2016,8,Seed,1113,1,4,3,20,Seed,0,1,1,35.6
Fintech,Riyadh,2010,14,Pre-Seed,176,2,3,2,7,Pre-Seed,1,0,0,50.9
E-commerce,Jeddah,2021,3,Pre-Seed,294,1,3,1,29,Pre-Seed,0,0,0,24.8
Edtech,Riyadh,2021,3,Pre-Seed,300,2,2,3,11,Pre-Seed,0,0,0,43.6
Healthtech,Riyadh,2013,11,Seed,568,1,5,2,15,Seed,0,0,0,26.1
Edtech,Riyadh,2014,10,Pre-Seed,127,2,2,4,10,Pre-Seed,0,0,0,37.6
Fintech,Jeddah,2011,13,Seed,2948,3,5,2,5,Seed,0,0,0,42.8
HR Tech,Jeddah,2016,8,Series A,13297,4,6,2,1,Series A,0,0,1,58.8
Agritech,Riyadh,2013,11,Series C,149531,5,17,2,1,Series C,0,0,1,84.2
Logistics Tech,Jeddah,2017,7,Series B,18155,5,13,2,16,Series B,0,0,1,54.0
Logistics Tech,Riyadh,2010,14,Seed,1775,3,2,3,27,Seed,0,0,0,33.3
Traveltech,Jeddah,2019,5,Pre-Seed,441,2,3,2,13,Pre-Seed,0,0,0,53.7
Healthtech,Riyadh,2010,14,Pre-Seed,431,1,1,3,5,Pre-Seed,0,0,1,46.5
Real Estate Tech,Jeddah,2010,14,Growth,490407,7,38,3,9,Growth,0,1,0,49.0
Healthtech,Abha,2013,11,Seed,2962,2,2,1,14,Seed,0,0,1,34.6
Edtech,Khobar,2010,14,Pre-Seed,459,1,1,2,10,Pre-Seed,0,0,0,57.2
Edtech,Riyadh,2014,10,Series B,33346,5,17,2,27,Series B,0,0,0,43.9
E-commerce,NEOM,2015,9,Seed,2681,2,6,2,30,Seed,0,0,0,67.1
Fintech,Riyadh,2016,8,Series C,62133,6,28,2,15,Series C,0,0,0,60.9
Real Estate Tech,Mecca,2017,7,Seed,2977,3,5,1,1,Seed,0,1,0,46.4
Traveltech,Riyadh,2017,7,Seed,2068,2,2,2,7,Seed,0,0,0,51.5
Healthtech,Riyadh,2011,13,Seed,2134,1,3,2,16,Seed,0,0,1,29.4
Healthtech,Riyadh,2021,3,Series C,76892,5,21,4,4,Series C,0,0,0,47.7
Real Estate Tech,Riyadh,2013,11,Series B,19162,3,15,3,17,Series B,0,1,1,59.1
Real Estate Tech,Jeddah,2016,8,Series A,4076,3,6,2,21,Series A,0,0,1,43.0
Traveltech,Mecca,2018,6,Pre-Seed,298,2,1,3,15,Pre-Seed,0,0,1,65.8
Edtech,Jeddah,2018,6,Seed,2836,3,3,3,17,Seed,0,0,1,52.8
Logistics Tech,Jeddah,2020,4,Growth,288403,5,39,2,8,Growth,0,0,0,53.4
E-commerce,Dammam,2012,12,Series A,8361,2,5,1,10,Series A,0,0,0,47.9
Healthtech,Riyadh,2021,3,Series B,33420,3,11,3,17,Series B,0,0,1,61.1
Real Estate Tech,Riyadh,2016,8,Seed,890,3,3,1,12,Seed,0,0,1,37.8
Edtech,Riyadh,2013,11,Seed,1546,2,3,3,18,Seed,0,0,0,27.1
E-commerce,Riyadh,2018,6,Seed,1229,3,4,2,6,Seed,0,0,0,57.5
E-commerce,Riyadh,2016,8,Series A,13927,3,9,2,3,Series A,0,0,0,63.4
Healthtech,Riyadh,2022,2,Series B,26757,4,10,3,15,Series B,0,0,1,61.9
Traveltech,Riyadh,2022,2,Seed,2208,2,4,1,29,Seed,0,0,1,46.4
Fintech,Riyadh,2015,9,Seed,862,2,3,2,1,Seed,1,0,1,43.8
Logistics Tech,Khobar,2018,6,Seed,559,2,6,2,31,Seed,0,0,0,50.0
Real Estate Tech,Riyadh,2016,8,Pre-Seed,216,1,2,3,32,Pre-Seed,0,1,0,61.2
E-commerce,Jeddah,2020,4,Series C,108469,4,17,3,1,Series C,0,0,1,43.7
Fintech,Jeddah,2017,7,Seed,2281,2,3,3,30,Seed,1,0,0,42.5
Real Estate Tech,Jeddah,2020,4,Series B,21942,5,13,1,4,Series B,0,0,0,50.7
E-commerce,Riyadh,2014,10,Series A,11532,4,7,1,22,Series A,0,0,0,62.5
Fintech,Riyadh,2013,11,Series B,34121,5,8,3,33,Series B,0,0,0,52.9
E-commerce,Riyadh,2010,14,Series C,83808,6,17,2,21,Series C,0,0,0,54.3
Traveltech,Riyadh,2017,7,Series A,10666,4,10,2,23,Series A,0,0,1,57.6
Fintech,Riyadh,2015,9,Series C,58313,5,24,2,26,Series C,1,0,1,65.7
Logistics Tech,Jeddah,2013,11,Pre-Seed,313,1,1,4,48,Pre-Seed,0,0,1,34.6
E-commerce,Jeddah,2012,12,Series A,6814,3,6,1,11,Series A,0,0,0,34.2
Edtech,Jeddah,2014,10,Series B,37858,4,10,1,30,Series B,0,0,1,51.4
Real Estate Tech,Riyadh,2013,11,Seed,2632,1,5,3,5,Seed,0,1,1,33.9
Fintech,Riyadh,2020,4,Series A,11937,3,9,1,5,Series A,1,0,0,50.3
Fintech,Dammam,2020,4,Series B,19482,3,8,2,21,Series B,1,0,1,36.9
Fintech,Riyadh,2016,8,Series B,30914,4,9,3,27,Series B,0,0,0,49.4
Fintech,Jeddah,2015,9,Seed,948,1,3,2,24,Seed,1,0,1,41.3
Edtech,Dammam,2012,12,Series A,14144,4,6,2,13,Series A,0,0,1,49.2
Agritech,Riyadh,2021,3,Seed,2621,1,6,2,14,Seed,0,0,0,52.0
Logistics Tech,Riyadh,2019,5,Series A,10004,3,6,2,9,Series A,0,0,0,48.7
Edtech,Riyadh,2022,2,Seed,1523,2,5,3,21,Seed,0,0,0,28.8
Fintech,Riyadh,2020,4,Series A,7961,2,10,2,23,Series A,0,0,0,50.2
Real Estate Tech,Riyadh,2021,3,Seed,2276,3,2,2,29,Seed,0,1,0,34.5
Real Estate Tech,Riyadh,2010,14,Pre-Seed,472,2,1,2,3,Pre-Seed,0,1,1,60.6
Real Estate Tech,Riyadh,2016,8,Pre-Seed,417,1,2,4,54,Pre-Seed,0,1,1,57.8
E-commerce,Jeddah,2014,10,Pre-Seed,195,2,1,4,6,Pre-Seed,0,0,0,25.8
Healthtech,Dammam,2010,14,Series A,3588,2,7,3,8,Series A,0,0,1,49.7
Real Estate Tech,Riyadh,2010,14,Series B,21146,3,17,2,16,Series B,0,1,1,56.1
Real Estate Tech,Khobar,2015,9,Pre-Seed,482,1,1,2,18,Pre-Seed,0,1,1,49.4
Logistics Tech,Mecca,2013,11,Pre-Seed,277,1,3,3,24,Pre-Seed,0,0,0,38.2
Logistics Tech,Mecca,2017,7,Seed,1636,3,2,2,24,Seed,0,0,0,37.8
Real Estate Tech,Dammam,2011,13,Series A,9005,2,6,3,24,Series A,0,1,0,58.6
Traveltech,Riyadh,2013,11,Pre-Seed,303,1,1,1,32,Pre-Seed,0,0,0,55.6
HR Tech,Riyadh,2021,3,Seed,2274,1,3,2,27,Seed,0,0,1,34.7
Real Estate Tech,Jeddah,2022,2,Pre-Seed,125,2,2,2,5,Pre-Seed,0,0,1,42.2
Real Estate Tech,Jeddah,2017,7,Seed,2377,3,3,2,14,Seed,0,1,0,44.3
E-commerce,Dammam,2021,3,Pre-Seed,207,2,2,3,11,Pre-Seed,0,0,0,51.1
HR Tech,Abha,2017,7,Seed,2201,3,4,3,16,Seed,0,0,0,32.8
Agritech,Jeddah,2014,10,Series A,4591,4,9,1,30,Series A,0,0,1,42.5
Fintech,Riyadh,2012,12,Series A,3868,2,5,4,25,Series A,0,0,1,45.6
E-commerce,Riyadh,2022,2,Pre-Seed,373,1,1,2,16,Pre-Seed,0,0,1,59.6
Healthtech,Riyadh,2013,11,Series A,8662,3,6,4,29,Series A,0,0,0,44.7
E-commerce,Jeddah,2012,12,Seed,2565,3,3,2,27,Seed,0,0,0,47.3
Fintech,Jeddah,2020,4,Series C,92448,6,16,3,4,Series C,1,0,1,63.0
Agritech,Dammam,2011,13,Seed,2846,2,2,4,8,Seed,0,0,0,40.7
Edtech,Jeddah,2013,11,Series A,5641,4,8,3,22,Series A,0,0,0,58.8
Agritech,Khobar,2018,6,Series A,10020,2,8,1,16,Series A,0,0,0,43.3
Agritech,Jeddah,2015,9,Pre-Seed,495,2,2,1,25,Pre-Seed,0,0,1,33.8
Edtech,Dammam,2013,11,Series C,83819,5,25,2,13,Series C,0,0,1,64.3
E-commerce,Riyadh,2010,14,Seed,2544,1,6,2,26,Seed,0,0,1,55.1
Healthtech,NEOM,2016,8,Series A,6588,3,5,3,17,Series A,0,0,1,37.4
Fintech,Jeddah,2011,13,Pre-Seed,262,1,3,3,23,Pre-Seed,1,0,0,28.8
Edtech,Riyadh,2021,3,Seed,2997,2,5,2,21,Seed,0,0,1,29.4
Fintech,Riyadh,2015,9,Series A,14596,4,4,2,15,Series A,1,0,0,49.2
Edtech,Khobar,2019,5,Seed,2449,3,2,3,35,Seed,0,0,0,64.1
Real Estate Tech,Riyadh,2010,14,Seed,2108,1,5,2,15,Seed,0,0,0,33.2
Fintech,Riyadh,2022,2,Seed,1980,2,4,3,40,Seed,0,0,1,38.5
Fintech,Riyadh,2016,8,Series A,9732,3,10,2,1,Series A,1,0,0,50.8
Fintech,Jeddah,2013,11,Seed,920,3,5,2,7,Seed,0,0,0,38.5
Edtech,Dammam,2020,4,Pre-Seed,339,1,1,4,20,Pre-Seed,0,0,0,32.2
Edtech,Riyadh,2012,12,Series A,7900,2,5,2,2,Series A,0,0,0,56.3
E-commerce,Riyadh,2019,5,Seed,939,3,5,3,12,Seed,0,0,0,57.5
Fintech,Medina,2016,8,Seed,1521,1,5,2,26,Seed,1,0,0,33.7
Fintech,Dammam,2022,2,Pre-Seed,110,2,1,2,16,Pre-Seed,0,0,0,36.8
Fintech,NEOM,2012,12,Pre-Seed,158,1,3,4,25,Pre-Seed,0,0,0,48.4
Fintech,Riyadh,2017,7,Pre-Seed,358,2,2,3,32,Pre-Seed,0,0,0,53.7
Traveltech,Riyadh,2020,4,Series C,69724,6,16,4,22,Series C,0,0,0,65.0
Real Estate Tech,Riyadh,2013,11,Seed,613,1,2,4,7,Seed,0,1,0,30.9
Real Estate Tech,Jeddah,2012,12,Pre-Seed,172,1,2,1,16,Pre-Seed,0,1,1,36.5
Fintech,Riyadh,2016,8,Pre-Seed,335,1,2,4,17,Pre-Seed,1,0,0,52.6
Real Estate Tech,Riyadh,2016,8,Pre-Seed,105,2,2,1,19,Pre-Seed,0,1,1,60.9
E-commerce,Riyadh,2018,6,Series A,10769,4,5,1,13,Series A,0,0,0,64.8
Healthtech,Riyadh,2019,5,Pre-Seed,213,2,1,3,19,Pre-Seed,0,0,0,47.4
Real Estate Tech,Dammam,2016,8,Seed,2913,2,2,2,26,Seed,0,1,0,47.2
Fintech,Riyadh,2015,9,Seed,1347,1,5,4,1,Seed,0,0,0,39.3
E-commerce,Jeddah,2012,12,Series B,42969,3,16,2,24,Series B,0,0,1,37.1
Real Estate Tech,Khobar,2013,11,Seed,1835,1,4,2,11,Seed,0,0,1,41.5
Real Estate Tech,Riyadh,2017,7,Seed,2600,1,5,1,1,Seed,0,0,1,34.5
HR Tech,Jeddah,2015,9,Series A,13104,2,4,2,1,Series A,0,0,1,55.0
Healthtech,Medina,2018,6,Seed,800,3,2,2,22,Seed,0,0,0,40.5
Healthtech,Mecca,2017,7,Series B,19959,3,16,1,15,Series B,0,0,0,73.1
E-commerce,Riyadh,2017,7,Series A,4086,4,4,3,33,Series A,0,0,1,63.1
E-commerce,Riyadh,2020,4,Seed,584,2,2,4,32,Seed,0,0,0,54.0
Healthtech,Riyadh,2019,5,Seed,1877,2,2,2,6,Seed,0,0,1,32.3
Edtech,Jeddah,2019,5,Growth,444730,7,24,2,17,Growth,0,0,1,66.5
Edtech,Jeddah,2016,8,Series A,4693,3,8,1,32,Series A,0,0,0,56.7
Fintech,Jeddah,2019,5,Series C,90595,6,21,2,9,Series C,0,0,0,60.2
E-commerce,Riyadh,2020,4,Pre-Seed,477,1,2,2,35,Pre-Seed,0,0,0,60.7
E-commerce,Riyadh,2010,14,Seed,1999,3,2,2,16,Seed,0,0,1,56.1
Agritech,Jeddah,2014,10,Series C,96715,5,20,2,21,Series C,0,0,0,74.7
Healthtech,Riyadh,2016,8,Seed,1415,3,3,1,18,Seed,0,0,1,29.2
Healthtech,Jeddah,2019,5,Growth,219407,6,48,1,20,Growth,0,0,1,76.8
Fintech,Riyadh,2018,6,Pre-Seed,281,2,3,4,26,Pre-Seed,1,0,0,51.4
Healthtech,Riyadh,2021,3,Series C,109491,6,21,3,9,Series C,0,0,0,50.7
Fintech,Riyadh,2013,11,Seed,2226,2,2,2,19,Seed,1,0,1,36.9
Real Estate Tech,Riyadh,2017,7,Pre-Seed,497,1,2,2,19,Pre-Seed,0,1,1,62.0
Fintech,Riyadh,2010,14,Series B,17811,5,11,2,20,Series B,0,0,0,55.2
Edtech,Riyadh,2013,11,Seed,2863,1,3,3,29,Seed,0,0,1,26.7
Real Estate Tech,Riyadh,2013,11,Pre-Seed,297,1,1,3,18,Pre-Seed,0,0,0,55.3
E-commerce,Riyadh,2011,13,Pre-Seed,346,1,3,2,22,Pre-Seed,0,0,0,57.0
Traveltech,Riyadh,2020,4,Series A,13505,3,5,3,34,Series A,0,0,0,54.0
Real Estate Tech,Jeddah,2020,4,Growth,389161,6,49,3,25,Growth,0,0,1,46.0
E-commerce,Riyadh,2012,12,Pre-Seed,382,2,2,3,18,Pre-Seed,0,0,0,56.7
E-commerce,Jeddah,2012,12,Seed,1582,1,3,4,13,Seed,0,0,0,45.5
Fintech,Jeddah,2018,6,Pre-Seed,436,2,2,2,30,Pre-Seed,1,0,0,27.2
Logistics Tech,Jeddah,2016,8,Series A,8604,4,4,3,6,Series A,0,0,0,50.4
Fintech,Mecca,2011,13,Pre-Seed,423,2,3,4,23,Pre-Seed,0,0,0,45.3
E-commerce,Riyadh,2018,6,Pre-Seed,285,2,1,2,19,Pre-Seed,0,0,0,56.8
Healthtech,Jeddah,2017,7,Pre-Seed,379,2,1,1,22,Pre-Seed,0,0,0,40.0
Healthtech,Mecca,2015,9,Series A,8619,2,8,3,27,Series A,0,0,1,59.6
Edtech,NEOM,2015,9,Series B,44520,4,15,3,12,Series B,0,0,0,46.6
Real Estate Tech,Riyadh,2021,3,Seed,562,3,6,2,10,Seed,0,1,0,36.5
Fintech,Riyadh,2011,13,Pre-Seed,180,2,3,2,4,Pre-Seed,0,0,0,50.2
Edtech,Riyadh,2022,2,Series A,8059,3,5,4,18,Series A,0,0,0,54.7
Healthtech,Jeddah,2012,12,Series B,46990,5,9,2,28,Series B,0,0,0,62.7
Agritech,Jeddah,2015,9,Pre-Seed,348,1,1,2,10,Pre-Seed,0,0,1,33.0
Logistics Tech,Riyadh,2021,3,Pre-Seed,456,2,2,4,1,Pre-Seed,0,0,0,50.5
Agritech,Jeddah,2012,12,Pre-Seed,472,2,2,2,10,Pre-Seed,0,0,1,30.8
E-commerce,Jeddah,2020,4,Series A,3515,4,7,3,22,Series A,0,0,0,37.5
Real Estate Tech,Riyadh,2020,4,Series A,9195,3,9,3,17,Series A,0,0,1,59.6
Logistics Tech,NEOM,2016,8,Seed,1117,3,2,4,23,Seed,0,0,0,53.9
E-commerce,Dammam,2014,10,Pre-Seed,198,1,1,2,25,Pre-Seed,0,0,0,45.6
Fintech,Riyadh,2013,11,Seed,823,2,5,4,28,Seed,1,0,1,35.7
Agritech,Jeddah,2017,7,Growth,160832,5,41,2,10,Growth,0,0,0,66.2
Agritech,Riyadh,2020,4,Pre-Seed,400,2,1,2,35,Pre-Seed,0,0,0,49.5
E-commerce,Jeddah,2020,4,Series C,113366,6,24,2,18,Series C,0,0,1,38.7
Fintech,Mecca,2011,13,Series A,8537,2,4,2,24,Series A,0,0,0,41.4
E-commerce,NEOM,2012,12,Pre-Seed,270,2,3,2,18,Pre-Seed,0,0,1,51.4
Logistics Tech,Riyadh,2019,5,Seed,655,3,5,3,24,Seed,0,0,1,34.0
Traveltech,Riyadh,2021,3,Series C,103790,6,15,3,12,Series C,0,0,0,73.1
Real Estate Tech,Riyadh,2013,11,Seed,646,1,4,3,11,Seed,0,1,0,30.9
Fintech,Jeddah,2021,3,Series B,26166,4,16,3,21,Series B,0,0,0,44.6
Agritech,Riyadh,2019,5,Seed,1759,1,4,2,27,Seed,0,0,0,49.7
E-commerce,Jeddah,2015,9,Series A,12690,3,4,2,31,Series A,0,0,1,35.9
Healthtech,Riyadh,2014,10,Series B,44536,5,14,2,14,Series B,0,0,1,61.4
HR Tech,Riyadh,2014,10,Series C,104883,6,19,1,26,Series C,0,0,0,45.2
Fintech,Riyadh,2016,8,Seed,1984,3,4,2,21,Seed,1,0,0,41.2
Healthtech,Medina,2017,7,Series A,5750,3,10,3,18,Series A,0,0,1,41.0
Fintech,Jeddah,2015,9,Pre-Seed,376,2,1,2,19,Pre-Seed,1,0,0,29.1
Real Estate Tech,Riyadh,2012,12,Seed,2432,3,4,3,17,Seed,0,0,0,35.2
Logistics Tech,Riyadh,2013,11,Seed,757,2,6,2,22,Seed,0,0,0,32.1
E-commerce,Jeddah,2010,14,Pre-Seed,302,2,3,2,1,Pre-Seed,0,0,0,25.4
Cybersecurity,Riyadh,2020,4,Seed,939,3,4,2,2,Seed,0,0,1,40.0
Healthtech,Jeddah,2014,10,Seed,1037,3,2,2,10,Seed,0,0,0,44.9
Real Estate Tech,Dammam,2022,2,Growth,319767,6,23,2,25,Growth,0,0,0,62.5
Real Estate Tech,Jeddah,2021,3,Series A,13731,3,10,2,22,Series A,0,1,0,46.4
Real Estate Tech,Jeddah,2019,5,Seed,1807,1,6,2,19,Seed,0,1,1,42.6
Real Estate Tech,Jeddah,2017,7,Growth,410658,6,49,3,30,Growth,0,1,0,44.1
Fintech,Khobar,2012,12,Pre-Seed,318,2,1,2,13,Pre-Seed,1,0,0,50.1
Real Estate Tech,Khobar,2019,5,Seed,1680,1,3,2,22,Seed,0,1,0,42.5
E-commerce,Jeddah,2022,2,Series A,7839,3,6,1,14,Series A,0,0,1,35.6
Edtech,Riyadh,2013,11,Pre-Seed,437,1,2,2,14,Pre-Seed,0,0,0,38.9
Edtech,Riyadh,2022,2,Series A,5767,2,9,2,33,Series A,0,0,0,56.0
Edtech,Riyadh,2013,11,Pre-Seed,371,2,1,4,15,Pre-Seed,0,0,1,39.4
Fintech,Jeddah,2015,9,Pre-Seed,314,2,2,2,20,Pre-Seed,1,0,1,29.2
Real Estate Tech,Jeddah,2018,6,Pre-Seed,283,1,2,2,17,Pre-Seed,0,1,0,39.9
Edtech,Riyadh,2019,5,Series C,65651,5,21,2,17,Series C,0,0,0,61.5
E-commerce,Riyadh,2012,12,Series A,3302,4,7,3,22,Series A,0,0,1,64.2
Fintech,Riyadh,2013,11,Series A,4013,4,8,4,7,Series A,1,0,0,52.1
Logistics Tech,NEOM,2015,9,Series A,6651,3,4,1,7,Series A,0,0,0,58.4
Logistics Tech,Jeddah,2015,9,Seed,747,3,5,3,17,Seed,0,0,0,52.7
Healthtech,Jeddah,2016,8,Series A,5064,4,9,2,15,Series A,0,0,0,43.9
Fintech,Riyadh,2010,14,Seed,1859,3,2,3,25,Seed,1,0,1,41.5
Logistics Tech,Jeddah,2018,6,Pre-Seed,310,2,3,2,27,Pre-Seed,0,0,0,40.1
Healthtech,Riyadh,2011,13,Series A,12802,4,9,1,7,Series A,0,0,1,51.1
Logistics Tech,Jeddah,2013,11,Pre-Seed,472,1,2,3,7,Pre-Seed,0,0,0,39.5
Logistics Tech,Riyadh,2012,12,Pre-Seed,404,2,1,3,14,Pre-Seed,0,0,0,45.9
Logistics Tech,Riyadh,2012,12,Series B,26794,4,9,4,13,Series B,0,0,1,55.0
E-commerce,Riyadh,2020,4,Series A,4046,4,10,2,18,Series A,0,0,0,66.4
Fintech,Riyadh,2014,10,Series A,9762,3,6,1,27,Series A,0,0,0,46.0
Edtech,Mecca,2016,8,Seed,619,1,3,2,21,Seed,0,0,0,33.2
Healthtech,Riyadh,2022,2,Seed,2052,3,3,3,24,Seed,0,0,0,31.9
Edtech,Riyadh,2021,3,Series A,14448,4,6,2,13,Series A,0,0,0,56.6
Fintech,Jeddah,2016,8,Series A,12731,4,5,3,10,Series A,1,0,0,37.0
Fintech,NEOM,2016,8,Seed,2016,1,3,1,11,Seed,1,0,0,54.8
Traveltech,Riyadh,2012,12,Growth,358507,6,33,1,14,Growth,0,0,0,75.8
Edtech,Jeddah,2018,6,Series C,133699,4,30,3,19,Series C,0,0,1,74.7
Traveltech,NEOM,2015,9,Seed,937,2,4,2,17,Seed,0,0,0,52.4
Logistics Tech,Riyadh,2020,4,Series B,40379,3,10,2,12,Series B,0,0,0,55.0
Healthtech,Riyadh,2021,3,Seed,603,1,6,2,17,Seed,0,0,0,29.2
Edtech,Riyadh,2020,4,Seed,2185,3,3,1,12,Seed,0,0,0,35.7
Agritech,Dammam,2019,5,Pre-Seed,292,1,2,3,5,Pre-Seed,0,0,0,37.2
Healthtech,Riyadh,2020,4,Series A,3825,4,5,1,24,Series A,0,0,1,42.2
Healthtech,Riyadh,2017,7,Series C,135726,4,19,3,17,Series C,0,0,0,44.3
Fintech,Jeddah,2010,14,Series B,44743,3,14,2,18,Series B,1,0,1,49.5
E-commerce,Jeddah,2013,11,Series B,29242,4,17,2,20,Series B,0,0,0,36.3
Edtech,Riyadh,2016,8,Pre-Seed,403,1,3,3,16,Pre-Seed,0,0,0,40.6
Real Estate Tech,Jeddah,2021,3,Seed,2715,2,4,2,20,Seed,0,1,0,44.1
Real Estate Tech,Riyadh,2018,6,Pre-Seed,186,1,3,2,37,Pre-Seed,0,1,0,61.2
Real Estate Tech,Riyadh,2021,3,Seed,2668,3,4,1,29,Seed,0,1,0,35.6
Real Estate Tech,Jeddah,2012,12,Series A,9046,2,10,4,10,Series A,0,1,0,43.1
Real Estate Tech,Khobar,2021,3,Seed,2901,2,5,2,1,Seed,0,0,0,43.6
E-commerce,Riyadh,2020,4,Series A,8865,3,6,2,27,Series A,0,0,0,61.1
Traveltech,NEOM,2021,3,Seed,2898,3,6,1,22,Seed,0,0,0,52.3
E-commerce,Jeddah,2015,9,Seed,2039,1,5,3,23,Seed,0,0,0,52.0
Fintech,Riyadh,2017,7,Pre-Seed,336,2,2,1,12,Pre-Seed,1,0,0,53.7
Fintech,Jeddah,2020,4,Series C,131213,5,29,2,11,Series C,1,0,0,58.8
Edtech,Riyadh,2012,12,Pre-Seed,357,2,2,2,19,Pre-Seed,0,0,0,40.6
E-commerce,Abha,2015,9,Pre-Seed,125,1,3,3,21,Pre-Seed,0,0,0,67.0
Logistics Tech,NEOM,2018,6,Series B,43803,3,13,2,38,Series B,0,0,1,61.6
Edtech,Riyadh,2018,6,Growth,477576,6,29,2,26,Growth,0,0,1,53.5
Logistics Tech,Riyadh,2015,9,Series A,7866,2,6,2,20,Series A,0,0,0,46.4
Real Estate Tech,Riyadh,2014,10,Pre-Seed,169,2,3,2,1,Pre-Seed,0,0,0,58.6
Edtech,Riyadh,2010,14,Pre-Seed,284,1,2,4,20,Pre-Seed,0,0,0,36.3
Real Estate Tech,Riyadh,2012,12,Growth,161313,5,34,3,19,Growth,0,0,0,48.1
Traveltech,Riyadh,2012,12,Series B,47569,4,10,2,6,Series B,0,0,0,77.9
Healthtech,Jeddah,2021,3,Series A,11720,4,6,2,24,Series A,0,0,0,44.5
Real Estate Tech,Riyadh,2013,11,Pre-Seed,105,1,1,3,31,Pre-Seed,0,0,0,53.5
Real Estate Tech,Dammam,2014,10,Pre-Seed,133,1,3,2,37,Pre-Seed,0,1,0,61.9
Fintech,Dammam,2020,4,Pre-Seed,158,2,3,2,19,Pre-Seed,1,0,1,40.2
Edtech,Riyadh,2017,7,Series A,8187,4,8,1,12,Series A,0,0,1,60.3
Real Estate Tech,NEOM,2022,2,Pre-Seed,354,2,3,1,30,Pre-Seed,0,1,0,53.5
Healthtech,Riyadh,2020,4,Growth,239897,7,40,2,10,Growth,0,0,0,75.3
Real Estate Tech,Riyadh,2018,6,Pre-Seed,256,2,2,2,19,Pre-Seed,0,1,0,60.8
Edtech,Jeddah,2021,3,Series A,13272,4,5,4,6,Series A,0,0,0,60.8
Logistics Tech,Riyadh,2016,8,Pre-Seed,109,1,2,3,29,Pre-Seed,0,0,0,46.0
Logistics Tech,Jeddah,2022,2,Seed,2228,3,2,1,12,Seed,0,0,1,56.5
Logistics Tech,NEOM,2019,5,Pre-Seed,474,2,2,3,26,Pre-Seed,0,0,1,54.8
