sector,city,founded_year,startup_age_years,funding_stage,total_funding_sar,num_funding_rounds,num_investors,num_founders,speed_to_first_round_months,last_round_type,sama_sandbox,rega_sandbox,ntdp_participation,market_growth_index,traction_score,monthly_revenue_sar,risk_category,survived_3_years,investment_score
Traveltech,Khobar,2018,6,Pre-Seed,320,1,3,4,1,Pre-Seed,0,0,0,0.48,18.8,3997,High,0,42.8
Healthtech,Riyadh,2021,3,Pre-Seed,229,2,3,1,2,Pre-Seed,0,0,0,0.78,19.1,5739,Medium,0,50.6
E-commerce,Dammam,2017,7,Pre-Seed,432,2,1,1,20,Pre-Seed,0,0,0,0.72,15.9,6568,High,1,54.0
E-commerce,Abha,2011,13,Series A,13875,4,9,2,3,Series A,0,0,0,0.72,58.1,94121,Low,1,74.6
HR Tech,Riyadh,2017,7,Seed,903,3,4,2,9,Seed,0,0,0,0.65,35.4,13143,High,1,51.4
Fintech,Riyadh,2012,12,Series B,34360,3,18,3,18,Series B,1,0,0,0.9,74.9,1290453,Medium,1,63.4
Healthtech,Jeddah,2012,12,Seed,2103,3,3,2,1,Seed,0,0,0,0.78,29.9,50845,Medium,0,48.1
E-commerce,Mecca,2018,6,Series B,27915,4,12,4,14,Series B,0,0,0,0.72,74.2,429349,Medium,1,65.0
Healthtech,Khobar,2022,2,Pre-Seed,468,1,2,2,6,Pre-Seed,0,0,0,0.78,16.5,4619,High,1,45.5
Fintech,Jeddah,2018,6,Pre-Seed,387,1,1,2,3,Pre-Seed,1,0,0,0.9,20.2,2865,Medium,0,44.0
Agritech,Dammam,2018,6,Seed,1481,1,3,2,9,Seed,0,0,0,0.52,29.9,43119,High,0,47.1
Traveltech,Riyadh,2013,11,Seed,1577,1,2,2,7,Seed,0,0,0,0.48,27.1,23200,Medium,0,54.3
Healthtech,Medina,2021,3,Seed,2795,2,4,1,22,Seed,0,0,1,0.78,32.4,77786,Medium,0,44.9
Edtech,Mecca,2016,8,Series A,5385,3,4,1,29,Series A,0,0,1,0.58,44.8,328372,Medium,0,66.4
Traveltech,Riyadh,2022,2,Pre-Seed,380,2,1,3,14,Pre-Seed,0,0,0,0.48,16.3,9258,Medium,1,63.1
Edtech,Riyadh,2017,7,Seed,533,2,4,2,12,Seed,0,0,0,0.58,25.1,52951,Medium,1,54.6
Fintech,Riyadh,2022,2,Series B,25788,3,10,2,13,Series B,0,0,0,0.9,55.7,1788640,Medium,1,63.3
Healthtech,Riyadh,2022,2,Pre-Seed,442,2,1,3,6,Pre-Seed,0,0,0,0.78,4.0,3380,Medium,1,52.0
Healthtech,Dammam,2014,10,Series C,133183,4,23,1,5,Series C,0,0,1,0.78,84.9,10399379,Medium,0,53.8
E-commerce,Riyadh,2022,2,Growth,210121,7,30,2,1,Growth,0,0,0,0.72,93.3,77749508,Low,0,65.1
Edtech,Riyadh,2010,14,Pre-Seed,276,2,2,1,4,Pre-Seed,0,0,1,0.58,19.0,8623,High,1,43.2
Traveltech,Riyadh,2018,6,Seed,2592,3,2,2,34,Seed,0,0,1,0.48,25.4,7045,Medium,0,55.5
Traveltech,Medina,2015,9,Seed,804,3,2,3,11,Seed,0,0,0,0.48,27.7,23199,Medium,0,52.8
E-commerce,Jeddah,2012,12,Series B,24886,4,16,1,1,Series B,0,0,0,0.72,73.5,2440431,Medium,1,64.5
Fintech,Riyadh,2012,12,Series A,5317,2,6,3,12,Series A,1,0,0,0.9,60.9,433658,Medium,1,53.6
Cybersecurity,Riyadh,2019,5,Series A,10910,4,7,4,2,Series A,0,0,0,0.88,47.2,406300,Medium,1,50.7
Agritech,Medina,2010,14,Series A,3922,3,10,1,18,Series A,0,0,0,0.52,57.7,456510,Medium,0,53.4
Fintech,Dammam,2022,2,Pre-Seed,230,1,2,4,17,Pre-Seed,1,0,1,0.9,22.7,9924,Medium,0,57.9
Traveltech,Riyadh,2017,7,Series B,18810,5,12,2,18,Series B,0,0,1,0.48,67.6,2383884,Low,1,73.8
Agritech,Riyadh,2011,13,Series A,4167,3,4,1,17,Series A,0,0,1,0.52,59.6,369745,Medium,1,56.0
E-commerce,Riyadh,2021,3,Series A,11732,4,6,1,14,Series A,0,0,1,0.72,42.9,451771,Medium,1,62.7
Healthtech,Riyadh,2010,14,Series B,36414,3,12,2,3,Series B,0,0,0,0.78,73.8,1775365,Low,0,72.1
E-commerce,Jeddah,2016,8,Series A,14692,2,7,2,17,Series A,0,0,0,0.72,44.4,270252,Medium,0,59.1
Fintech,Khobar,2020,4,Pre-Seed,179,1,2,2,28,Pre-Seed,0,0,0,0.9,14.1,5587,High,0,33.1
Real Estate Tech,Riyadh,2018,6,Seed,1762,3,5,3,36,Seed,0,1,0,0.82,36.2,22059,Medium,0,58.1
Logistics Tech,Dammam,2015,9,Seed,1144,2,4,3,15,Seed,0,0,0,0.63,30.5,45457,Medium,1,56.1
Fintech,Riyadh,2017,7,Pre-Seed,427,1,1,2,16,Pre-Seed,0,0,0,0.9,16.0,3462,Medium,0,54.7
Real Estate Tech,Jeddah,2017,7,Series C,142972,6,26,3,23,Series C,0,1,0,0.82,86.3,10198705,Low,1,85.5
E-commerce,Jeddah,2018,6,Pre-Seed,218,2,3,4,32,Pre-Seed,0,0,0,0.72,17.8,4181,Medium,0,52.0
Healthtech,Riyadh,2016,8,Series A,13286,2,7,1,13,Series A,0,0,0,0.78,57.6,236413,High,0,42.8
Traveltech,Riyadh,2018,6,Seed,2632,3,5,2,24,Seed,0,0,0,0.48,29.9,65369,High,1,56.6
Real Estate Tech,Jeddah,2018,6,Pre-Seed,381,2,3,2,9,Pre-Seed,0,0,0,0.82,13.2,4343,Medium,0,68.1
Real Estate Tech,Riyadh,2021,3,Series C,140464,5,28,2,21,Series C,0,1,0,0.82,81.4,5054996,Medium,1,73.6
Edtech,Riyadh,2020,4,Series B,20292,3,15,2,27,Series B,0,0,1,0.58,63.3,1506909,Medium,0,52.3
E-commerce,Jeddah,2010,14,Seed,734,1,4,2,5,Seed,0,0,0,0.72,28.7,57194,High,0,48.6
Real Estate Tech,Abha,2015,9,Pre-Seed,280,1,1,3,12,Pre-Seed,0,1,1,0.82,14.8,8205,Medium,1,60.7
E-commerce,Riyadh,2021,3,Pre-Seed,150,2,2,2,27,Pre-Seed,0,0,0,0.72,10.9,1321,Medium,1,60.2
Fintech,Dammam,2017,7,Seed,1281,3,4,2,24,Seed,0,0,0,0.9,22.5,64367,High,1,53.2
Fintech,Riyadh,2019,5,Seed,1919,3,2,1,28,Seed,0,0,1,0.9,29.9,10407,High,0,48.8
E-commerce,Dammam,2018,6,Seed,1433,1,4,2,26,Seed,0,0,1,0.72,28.2,5010,Medium,0,57.0
E-commerce,Jeddah,2013,11,Growth,207148,6,46,2,14,Growth,0,0,0,0.72,93.3,13068356,Medium,1,56.5
Traveltech,NEOM,2022,2,Series A,4824,3,9,2,39,Series A,0,0,0,0.48,35.8,313935,Low,1,68.5
Real Estate Tech,Riyadh,2011,13,Series B,25388,3,9,4,19,Series B,0,0,1,0.82,72.7,2145634,Medium,0,58.3
Healthtech,Jeddah,2020,4,Series A,7396,3,5,2,1,Series A,0,0,0,0.78,38.8,70531,Medium,0,50.0
Healthtech,Jeddah,2018,6,Seed,2456,1,3,1,15,Seed,0,0,1,0.78,33.1,29232,High,0,48.6
Fintech,Riyadh,2018,6,Series B,49245,5,12,2,13,Series B,0,0,1,0.9,69.5,2715442,Medium,0,68.0
Edtech,Riyadh,2021,3,Seed,2524,1,4,3,25,Seed,0,0,0,0.58,24.0,47630,Medium,0,53.1
Fintech,Riyadh,2017,7,Series B,33981,4,13,3,13,Series B,1,0,1,0.9,80.1,1970345,Low,1,69.8
HR Tech,Riyadh,2012,12,Seed,2931,1,2,2,28,Seed,0,0,0,0.65,32.2,14178,High,1,48.2
Fintech,NEOM,2014,10,Pre-Seed,374,1,2,2,23,Pre-Seed,1,0,1,0.9,27.9,7790,High,0,36.5
E-commerce,Riyadh,2011,13,Series B,26882,3,15,2,7,Series B,0,0,1,0.72,76.8,922452,Medium,0,65.1
Fintech,Riyadh,2012,12,Series A,3534,2,5,2,16,Series A,1,0,0,0.9,55.1,416648,High,1,52.3
Cybersecurity,Jeddah,2010,14,Series B,32641,4,14,4,10,Series B,0,0,0,0.88,69.8,1571418,Low,1,81.0
E-commerce,Riyadh,2013,11,Series C,100810,6,30,2,19,Series C,0,0,1,0.72,87.7,9269336,Medium,1,59.0
Healthtech,Jeddah,2014,10,Pre-Seed,228,2,3,3,10,Pre-Seed,0,0,0,0.78,13.0,7125,Medium,1,52.3
Fintech,Riyadh,2021,3,Seed,2253,2,2,2,18,Seed,1,0,0,0.9,37.1,29586,Medium,1,50.7
Edtech,Mecca,2011,13,Seed,2184,2,3,2,15,Seed,0,0,1,0.58,36.6,64421,Low,1,74.8
Real Estate Tech,NEOM,2012,12,Series A,9714,4,6,3,16,Series A,0,1,0,0.82,55.4,264491,High,1,55.5
Traveltech,NEOM,2021,3,Series B,17979,4,12,2,38,Series B,0,0,0,0.48,71.4,806888,Medium,1,75.2
Real Estate Tech,Riyadh,2015,9,Seed,737,3,4,4,14,Seed,0,1,0,0.82,29.2,26200,Medium,1,57.8
Fintech,Dammam,2015,9,Series A,6654,4,5,2,1,Series A,1,0,0,0.9,60.9,179046,Medium,1,69.4
Fintech,Riyadh,2016,8,Series A,6014,2,9,1,28,Series A,1,0,1,0.9,60.2,357937,High,0,51.7
E-commerce,Riyadh,2021,3,Pre-Seed,288,2,1,3,28,Pre-Seed,0,0,0,0.72,17.2,2388,Medium,0,60.6
Healthtech,Riyadh,2018,6,Series B,30090,5,14,1,1,Series B,0,0,1,0.78,67.8,2905220,Low,1,73.7
Fintech,Jeddah,2013,11,Series A,10653,3,7,2,10,Series A,1,0,0,0.9,56.6,398977,Medium,0,46.4
Logistics Tech,Riyadh,2014,10,Series C,114753,5,15,2,22,Series C,0,0,1,0.63,85.4,7415167,High,0,55.1
E-commerce,Jeddah,2020,4,Seed,2221,3,2,3,23,Seed,0,0,0,0.72,29.7,8243,High,0,51.4
E-commerce,Riyadh,2011,13,Pre-Seed,358,2,1,2,17,Pre-Seed,0,0,0,0.72,22.4,8718,Medium,1,58.6
E-commerce,Riyadh,2015,9,Seed,2265,1,4,1,18,Seed,0,0,1,0.72,30.5,25149,Medium,1,61.1
E-commerce,Jeddah,2013,11,Pre-Seed,322,2,3,2,8,Pre-Seed,0,0,0,0.72,17.1,5922,High,0,52.0
Healthtech,Riyadh,2014,10,Growth,396883,7,25,2,1,Growth,0,0,0,0.78,96.8,74467325,Low,1,67.0
Fintech,Jeddah,2016,8,Pre-Seed,346,1,3,4,38,Pre-Seed,0,0,0,0.9,15.5,340,High,0,42.5
Fintech,Riyadh,2015,9,Series A,9701,4,8,2,8,Series A,0,0,1,0.9,58.6,375533,Medium,0,55.9
Agritech,Dammam,2017,7,Seed,2821,3,5,3,19,Seed,0,0,0,0.52,31.4,31364,High,1,47.7
HR Tech,Jeddah,2015,9,Seed,1923,1,2,2,16,Seed,0,0,0,0.65,32.9,32100,High,0,48.3
Real Estate Tech,Riyadh,2019,5,Pre-Seed,104,1,2,3,26,Pre-Seed,0,1,0,0.82,19.2,7801,Medium,1,61.6
Real Estate Tech,Riyadh,2017,7,Series A,11715,3,10,3,19,Series A,0,0,0,0.82,44.9,351922,High,0,45.3
Healthtech,Jeddah,2022,2,Series A,14200,4,5,4,19,Series A,0,0,0,0.78,47.0,257781,Medium,0,49.7
E-commerce,Dammam,2013,11,Seed,1872,2,2,1,1,Seed,0,0,1,0.72,25.9,47521,Medium,0,52.8
Fintech,Riyadh,2021,3,Series C,57054,5,20,2,9,Series C,1,0,1,0.9,86.8,5698195,Low,1,76.0
Fintech,Riyadh,2016,8,Seed,2075,1,5,3,25,Seed,0,0,1,0.9,28.7,62635,High,1,49.4
Edtech,NEOM,2012,12,Seed,2999,1,2,1,24,Seed,0,0,1,0.58,31.6,73415,Medium,0,54.7
Edtech,Jeddah,2010,14,Seed,2475,2,4,2,8,Seed,0,0,1,0.58,34.9,40495,High,0,44.5
Fintech,Riyadh,2022,2,Pre-Seed,141,1,3,4,2,Pre-Seed,1,0,1,0.9,19.6,9109,Medium,1,54.3
Real Estate Tech,Riyadh,2018,6,Series C,133659,6,28,2,19,Series C,0,0,1,0.82,83.5,11593036,Low,1,74.9
Real Estate Tech,Riyadh,2018,6,Seed,594,1,5,4,1,Seed,0,1,1,0.82,37.4,62422,Medium,0,57.0
Edtech,Jeddah,2015,9,Pre-Seed,104,1,3,1,6,Pre-Seed,0,0,0,0.58,16.8,527,High,1,40.5
Fintech,Riyadh,2011,13,Seed,1674,3,6,3,35,Seed,1,0,0,0.9,37.5,28000,High,0,48.8
Fintech,Abha,2017,7,Series A,13957,2,4,2,32,Series A,0,0,0,0.9,42.7,201298,Medium,1,54.7
Logistics Tech,Riyadh,2019,5,Seed,999,2,5,2,22,Seed,0,0,0,0.63,21.4,76776,High,1,49.7
Fintech,Riyadh,2015,9,Series A,5419,3,9,4,21,Series A,1,0,0,0.9,55.9,412407,High,0,50.7
Edtech,Jeddah,2016,8,Pre-Seed,286,2,2,1,1,Pre-Seed,0,0,1,0.58,22.3,7781,High,0,42.0
Real Estate Tech,Khobar,2022,2,Seed,985,1,3,3,10,Seed,0,0,1,0.82,26.0,78219,Medium,1,47.1
Fintech,Dammam,2010,14,Series B,32049,3,9,3,15,Series B,0,0,0,0.9,75.6,2136362,Low,1,65.7
Real Estate Tech,Riyadh,2012,12,Pre-Seed,482,1,1,2,10,Pre-Seed,0,1,0,0.82,18.4,613,Medium,0,59.0
Edtech,Jeddah,2010,14,Series B,24877,4,10,4,14,Series B,0,0,1,0.58,76.5,1033651,Medium,1,57.2
Agritech,Jeddah,2019,5,Pre-Seed,319,2,2,2,30,Pre-Seed,0,0,0,0.52,11.0,247,High,0,44.4
Agritech,Riyadh,2010,14,Series B,30172,3,14,3,12,Series B,0,0,0,0.52,68.2,1196467,Medium,1,67.9
E-commerce,Riyadh,2021,3,Seed,1745,3,5,2,14,Seed,0,0,1,0.72,24.8,28156,Medium,1,61.9
Edtech,Riyadh,2021,3,Series A,8167,2,4,3,25,Series A,0,0,0,0.58,44.7,94353,High,0,38.2
Real Estate Tech,Riyadh,2020,4,Pre-Seed,226,2,2,2,3,Pre-Seed,0,0,0,0.82,15.3,7613,Medium,0,63.4
Real Estate Tech,Khobar,2022,2,Pre-Seed,390,1,1,1,9,Pre-Seed,0,0,0,0.82,13.4,3666,Medium,0,47.2
Traveltech,Riyadh,2010,14,Pre-Seed,314,1,1,2,10,Pre-Seed,0,0,1,0.48,23.4,1215,Medium,1,61.2
Fintech,Mecca,2013,11,Pre-Seed,106,2,1,2,18,Pre-Seed,0,0,1,0.9,24.6,5130,Medium,1,52.6
Fintech,Jeddah,2022,2,Seed,1196,3,6,2,14,Seed,1,0,0,0.9,35.8,55338,High,0,37.9
Real Estate Tech,Jeddah,2016,8,Seed,1640,3,5,2,14,Seed,0,0,1,0.82,31.4,49938,Medium,0,60.0
Fintech,Jeddah,2016,8,Series A,14310,4,5,1,11,Series A,0,0,1,0.9,52.4,316656,High,1,48.8
Fintech,Riyadh,2021,3,Series B,42779,5,8,2,7,Series B,0,0,1,0.9,63.7,2562720,Medium,1,66.8
Healthtech,Riyadh,2022,2,Series A,14391,4,8,2,24,Series A,0,0,1,0.78,45.7,136092,High,0,41.1
E-commerce,Riyadh,2014,10,Series A,7541,2,10,2,14,Series A,0,0,1,0.72,58.6,324074,Medium,0,63.2
Traveltech,Jeddah,2021,3,Seed,1277,2,4,2,24,Seed,0,0,0,0.48,29.9,26952,High,0,51.9
Logistics Tech,Riyadh,2015,9,Seed,2545,2,6,2,6,Seed,0,0,0,0.63,28.9,72804,High,0,51.8
Real Estate Tech,Dammam,2011,13,Seed,1208,1,5,3,11,Seed,0,1,0,0.82,38.8,43060,High,0,53.0
Real Estate Tech,Riyadh,2014,10,Series B,40049,3,12,3,15,Series B,0,1,0,0.82,76.4,2097639,Medium,1,59.4
Real Estate Tech,Riyadh,2016,8,Pre-Seed,147,2,3,2,16,Pre-Seed,0,0,1,0.82,17.9,6229,Medium,1,60.2
Healthtech,Riyadh,2018,6,Pre-Seed,478,2,3,3,25,Pre-Seed,0,0,0,0.78,10.0,299,High,0,52.4
Real Estate Tech,Khobar,2015,9,Series A,4106,3,5,2,13,Series A,0,1,0,0.82,56.5,55927,High,0,50.7
Healthtech,Jeddah,2021,3,Pre-Seed,208,1,2,3,25,Pre-Seed,0,0,0,0.78,16.3,5761,High,0,55.4
E-commerce,Riyadh,2019,5,Series C,109235,4,26,2,21,Series C,0,0,0,0.72,82.8,13072168,Medium,0,56.1
Healthtech,Jeddah,2013,11,Series B,31952,5,18,1,16,Series B,0,0,0,0.78,68.0,2340496,Low,1,80.9
E-commerce,Riyadh,2012,12,Pre-Seed,454,1,3,3,8,Pre-Seed,0,0,1,0.72,29.1,8190,Medium,1,59.8
Real Estate Tech,Medina,2018,6,Pre-Seed,288,2,2,3,25,Pre-Seed,0,1,1,0.82,23.3,2097,Medium,1,70.9
HR Tech,Jeddah,2016,8,Seed,1529,1,2,1,8,Seed,0,0,1,0.65,27.3,30455,High,0,45.8
Logistics Tech,Riyadh,2020,4,Series A,14550,4,4,2,17,Series A,0,0,0,0.63,39.5,326136,High,1,44.2
Fintech,Jeddah,2022,2,Seed,2314,3,6,3,17,Seed,0,0,1,0.9,25.9,62220,High,0,36.4
Agritech,Riyadh,2015,9,Series A,6729,3,4,3,15,Series A,0,0,0,0.52,50.7,239363,Medium,1,55.9
E-commerce,Mecca,2016,8,Series A,8514,3,6,3,14,Series A,0,0,0,0.72,47.9,400639,Medium,1,65.9
Traveltech,Riyadh,2017,7,Seed,1208,1,2,1,9,Seed,0,0,0,0.48,36.0,66273,Medium,1,56.0
Logistics Tech,Jeddah,2014,10,Pre-Seed,126,1,3,2,1,Pre-Seed,0,0,1,0.63,22.9,8972,Medium,1,61.7
E-commerce,Riyadh,2012,12,Series A,11319,4,6,1,32,Series A,0,0,0,0.72,48.3,299782,Medium,1,61.6
Fintech,Jeddah,2012,12,Pre-Seed,234,2,1,2,13,Pre-Seed,1,0,0,0.9,15.9,9377,High,0,43.2
Real Estate Tech,Dammam,2022,2,Series B,33037,4,16,1,16,Series B,0,0,1,0.82,66.2,1639389,Medium,0,55.0
Healthtech,Jeddah,2011,13,Seed,2940,1,6,3,16,Seed,0,0,0,0.78,36.9,15955,Medium,0,47.4
Healthtech,Jeddah,2017,7,Series A,11200,4,7,2,28,Series A,0,0,0,0.78,55.7,114695,Medium,1,52.1
Real Estate Tech,NEOM,2010,14,Series B,19709,4,15,3,37,Series B,0,1,0,0.82,75.0,2294831,Medium,1,54.8
Fintech,Riyadh,2021,3,Series B,24477,3,17,1,19,Series B,0,0,1,0.9,73.0,480243,Medium,1,62.8
Agritech,Riyadh,2017,7,Seed,1723,1,2,2,16,Seed,0,0,0,0.52,22.7,76099,Medium,1,57.0
Cybersecurity,Riyadh,2012,12,Pre-Seed,185,1,2,2,6,Pre-Seed,0,0,1,0.88,21.6,4369,Medium,1,54.9
E-commerce,Medina,2018,6,Series B,39755,4,14,2,3,Series B,0,0,1,0.72,64.4,579700,Low,1,81.7
Fintech,Riyadh,2021,3,Seed,2998,2,5,3,1,Seed,1,0,1,0.9,36.1,43732,Medium,1,52.7
Real Estate Tech,Jeddah,2021,3,Pre-Seed,339,2,1,2,10,Pre-Seed,0,1,0,0.82,11.6,8792,Medium,1,65.3
Fintech,Jeddah,2020,4,Series C,69980,5,27,2,1,Series C,0,0,0,0.9,80.6,13363535,Medium,1,68.3
Traveltech,Riyadh,2011,13,Pre-Seed,402,2,3,1,28,Pre-Seed,0,0,0,0.48,15.8,1132,Medium,0,57.9
Fintech,Riyadh,2019,5,Pre-Seed,333,2,3,1,22,Pre-Seed,1,0,1,0.9,29.4,2809,Medium,1,55.5
Healthtech,Riyadh,2018,6,Pre-Seed,282,1,2,3,15,Pre-Seed,0,0,1,0.78,16.7,8766,High,1,51.3
Real Estate Tech,Riyadh,2015,9,Series A,7454,4,5,2,29,Series A,0,1,1,0.82,58.3,237100,High,0,52.2
Healthtech,Riyadh,2010,14,Series A,5424,4,10,3,7,Series A,0,0,1,0.78,49.6,427517,High,0,46.1
Edtech,Riyadh,2014,10,Seed,1202,3,3,3,9,Seed,0,0,1,0.58,27.5,23645,Medium,1,53.5
Logistics Tech,NEOM,2019,5,Seed,2251,1,3,1,1,Seed,0,0,1,0.63,26.4,22067,Medium,0,48.1
Real Estate Tech,Mecca,2018,6,Seed,1282,1,6,1,25,Seed,0,1,0,0.82,34.7,32370,Medium,1,55.2
Fintech,Riyadh,2022,2,Series A,7178,4,6,3,9,Series A,1,0,0,0.9,51.8,202895,Medium,0,56.1
Fintech,Riyadh,2015,9,Pre-Seed,457,2,1,3,18,Pre-Seed,0,0,1,0.9,25.0,7835,Medium,1,56.3
Traveltech,Riyadh,2016,8,Series C,82953,6,25,2,28,Series C,0,0,1,0.48,79.1,7619638,Medium,1,68.9
Agritech,Jeddah,2013,11,Pre-Seed,387,1,1,1,31,Pre-Seed,0,0,0,0.52,21.2,2843,High,0,41.2
Healthtech,Dammam,2010,14,Growth,382510,5,25,1,17,Growth,0,0,0,0.78,97.8,53088982,High,1,56.6
Healthtech,Riyadh,2014,10,Pre-Seed,470,2,1,2,21,Pre-Seed,0,0,0,0.78,15.2,6758,High,1,49.6
Edtech,Riyadh,2011,13,Series B,28774,3,15,1,8,Series B,0,0,0,0.58,68.9,2447581,Medium,1,54.8
Fintech,Dammam,2017,7,Pre-Seed,129,2,2,2,34,Pre-Seed,0,0,1,0.9,18.5,4963,Medium,0,56.4
Traveltech,Jeddah,2013,11,Pre-Seed,496,2,3,2,16,Pre-Seed,0,0,0,0.48,21.9,4005,Medium,0,60.4
E-commerce,Riyadh,2010,14,Series B,21175,3,11,1,18,Series B,0,0,0,0.72,76.4,2754102,Medium,1,62.3
E-commerce,Jeddah,2019,5,Series B,36797,5,13,1,13,Series B,0,0,1,0.72,69.8,2113913,Medium,1,63.0
E-commerce,Riyadh,2016,8,Seed,1697,2,5,3,29,Seed,0,0,0,0.72,31.4,44582,Medium,1,61.7
Fintech,Riyadh,2021,3,Series A,14878,2,5,2,19,Series A,0,0,0,0.9,52.3,306062,Medium,1,51.9
Fintech,Dammam,2020,4,Series A,8248,4,7,4,25,Series A,0,0,0,0.9,48.6,152475,Medium,0,63.7
Edtech,Dammam,2011,13,Series B,32723,3,12,2,21,Series B,0,0,0,0.58,70.2,1219054,High,1,50.2
Fintech,Riyadh,2012,12,Seed,2576,1,3,3,15,Seed,1,0,0,0.9,39.4,47442,High,0,50.4
Healthtech,Mecca,2018,6,Seed,2670,1,5,2,27,Seed,0,0,1,0.78,37.2,9483,Medium,0,49.6
Real Estate Tech,Riyadh,2022,2,Seed,1775,3,3,2,21,Seed,0,1,0,0.82,24.6,13536,Medium,0,56.1
E-commerce,Dammam,2018,6,Seed,2951,2,6,1,8,Seed,0,0,1,0.72,28.6,76019,Medium,1,56.2
Real Estate Tech,Riyadh,2011,13,Series C,75259,4,16,1,8,Series C,0,1,0,0.82,95.9,10787219,Low,1,75.9
Real Estate Tech,NEOM,2012,12,Pre-Seed,371,2,2,4,19,Pre-Seed,0,1,1,0.82,25.8,5575,High,0,43.2
Edtech,Khobar,2020,4,Pre-Seed,424,2,2,2,27,Pre-Seed,0,0,0,0.58,16.7,7461,High,0,43.9
Real Estate Tech,Riyadh,2021,3,Series A,8932,4,4,4,34,Series A,0,0,0,0.82,50.2,305383,High,0,48.3
Healthtech,Khobar,2018,6,Series A,13353,2,7,2,1,Series A,0,0,1,0.78,45.4,89920,Medium,0,48.8
E-commerce,Dammam,2010,14,Pre-Seed,293,2,1,2,18,Pre-Seed,0,0,0,0.72,19.9,3116,Medium,1,56.3
Edtech,Dammam,2011,13,Seed,1918,1,4,2,22,Seed,0,0,0,0.58,37.7,20764,High,0,50.4
Traveltech,Riyadh,2020,4,Series C,94975,6,16,3,20,Series C,0,0,1,0.48,81.5,4449224,Low,0,67.8
Edtech,Dammam,2011,13,Pre-Seed,118,2,2,2,28,Pre-Seed,0,0,1,0.58,15.6,1729,High,0,37.9
Real Estate Tech,NEOM,2019,5,Series A,8972,2,5,4,24,Series A,0,1,1,0.82,51.6,413956,High,1,54.1
Fintech,Riyadh,2012,12,Series A,13845,2,7,1,8,Series A,1,0,1,0.9,63.4,346815,Medium,1,52.0
Real Estate Tech,Mecca,2019,5,Seed,965,2,5,3,7,Seed,0,0,1,0.82,34.6,31071,High,1,54.3
Healthtech,Riyadh,2012,12,Series C,58883,5,15,2,21,Series C,0,0,1,0.78,88.5,7327905,Medium,1,52.5
Fintech,Riyadh,2019,5,Series A,12203,3,8,2,27,Series A,0,0,0,0.9,48.6,186329,Medium,0,54.2
E-commerce,Jeddah,2022,2,Seed,1715,1,3,2,19,Seed,0,0,0,0.72,22.6,35882,Medium,0,51.4
Healthtech,Jeddah,2011,13,Series A,11080,4,5,2,2,Series A,0,0,0,0.78,56.6,195768,High,0,54.8
Real Estate Tech,Jeddah,2017,7,Series A,14254,2,6,1,7,Series A,0,1,0,0.82,57.9,450886,Medium,1,59.0
Logistics Tech,Riyadh,2017,7,Series A,7021,2,10,2,24,Series A,0,0,0,0.63,51.3,186758,High,0,44.7
Fintech,Mecca,2017,7,Series B,24828,3,9,2,14,Series B,0,0,1,0.9,68.8,1102019,Low,0,72.6
Fintech,Riyadh,2011,13,Seed,795,1,3,2,19,Seed,0,0,0,0.9,34.6,18956,Medium,0,48.5
Edtech,Riyadh,2022,2,Seed,1079,2,2,2,28,Seed,0,0,0,0.58,27.9,33129,Medium,1,53.4
E-commerce,Riyadh,2018,6,Pre-Seed,172,2,3,1,5,Pre-Seed,0,0,0,0.72,15.3,8270,Medium,0,60.6
Edtech,Jeddah,2020,4,Pre-Seed,331,2,3,1,13,Pre-Seed,0,0,0,0.58,16.8,4546,High,0,39.0
E-commerce,Khobar,2016,8,Pre-Seed,288,2,2,4,12,Pre-Seed,0,0,1,0.72,21.3,786,Medium,1,54.0
Real Estate Tech,Jeddah,2021,3,Series B,16586,4,9,4,21,Series B,0,1,0,0.82,72.7,2304166,Medium,1,64.9
Logistics Tech,Dammam,2014,10,Series A,6381,3,8,2,25,Series A,0,0,1,0.63,56.4,427062,Medium,1,60.5
Logistics Tech,Riyadh,2016,8,Series A,13542,4,9,4,3,Series A,0,0,0,0.63,47.0,267493,Medium,0,45.9
Edtech,Jeddah,2017,7,Series A,8428,2,5,3,17,Series A,0,0,1,0.58,56.8,71296,High,0,38.6
Real Estate Tech,Riyadh,2018,6,Series B,41748,3,8,1,26,Series B,0,0,0,0.82,67.3,2634126,Medium,0,56.9
Healthtech,Riyadh,2011,13,Seed,695,1,3,1,1,Seed,0,0,0,0.78,32.3,69569,High,1,46.6
Real Estate Tech,Riyadh,2015,9,Series B,24034,5,17,4,17,Series B,0,0,1,0.82,65.5,2330739,Medium,0,58.7
Fintech,Jeddah,2018,6,Seed,2899,3,5,2,5,Seed,0,0,0,0.9,28.3,21439,High,1,36.2
Traveltech,Jeddah,2022,2,Series C,99105,5,16,3,11,Series C,0,0,0,0.48,84.7,7909606,Low,1,74.4
Fintech,Dammam,2015,9,Series A,9344,2,6,3,1,Series A,0,0,1,0.9,41.9,269088,Medium,1,63.4
HR Tech,Riyadh,2011,13,Seed,2104,1,5,2,31,Seed,0,0,0,0.65,22.2,69886,High,0,49.5
E-commerce,Riyadh,2010,14,Series A,11638,4,6,1,14,Series A,0,0,0,0.72,56.9,481155,Medium,1,64.1
Fintech,Jeddah,2021,3,Seed,580,1,4,2,9,Seed,0,0,0,0.9,25.8,18300,High,1,36.7
